surface	status	category	identifier	detail	source	line
rest_route	planned	GET	/_ingest/processor/grok		/home/ubuntu/OpenSearch/modules/ingest-common/src/main/java/org/opensearch/ingest/common/GrokProcessorGetAction.java	162
rest_route	planned	GET	/_msearch/template		/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestMultiSearchTemplateAction.java	75
rest_route	planned	POST	/_msearch/template		/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestMultiSearchTemplateAction.java	76
rest_route	planned	GET	/{index}/_msearch/template		/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestMultiSearchTemplateAction.java	77
rest_route	planned	POST	/{index}/_msearch/template		/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestMultiSearchTemplateAction.java	78
rest_route	planned	GET	/_render/template		/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestRenderSearchTemplateAction.java	56
rest_route	planned	POST	/_render/template		/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestRenderSearchTemplateAction.java	57
rest_route	planned	GET	/_render/template/{id}		/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestRenderSearchTemplateAction.java	58
rest_route	planned	POST	/_render/template/{id}		/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestRenderSearchTemplateAction.java	59
rest_route	planned	GET	/_search/template		/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestSearchTemplateAction.java	68
rest_route	planned	POST	/_search/template		/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestSearchTemplateAction.java	69
rest_route	planned	GET	/{index}/_search/template		/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestSearchTemplateAction.java	70
rest_route	planned	POST	/{index}/_search/template		/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestSearchTemplateAction.java	71
rest_route	planned	GET	/_scripts/painless/_context		/home/ubuntu/OpenSearch/modules/lang-painless/src/main/java/org/opensearch/painless/action/PainlessContextAction.java	215
rest_route	planned	GET	/_scripts/painless/_execute		/home/ubuntu/OpenSearch/modules/lang-painless/src/main/java/org/opensearch/painless/action/PainlessExecuteAction.java	621
rest_route	planned	POST	/_scripts/painless/_execute		/home/ubuntu/OpenSearch/modules/lang-painless/src/main/java/org/opensearch/painless/action/PainlessExecuteAction.java	621
rest_route	planned		"/_opensearch_dashboards" + route.getPath(		/home/ubuntu/OpenSearch/modules/opensearch-dashboards/src/main/java/org/opensearch/dashboards/OpenSearchDashboardsModulePlugin.java	176
rest_route	planned	GET	"/" + ENDPOINT		/home/ubuntu/OpenSearch/modules/rank-eval/src/main/java/org/opensearch/index/rankeval/RestRankEvalAction.java	112
rest_route	planned	POST	"/" + ENDPOINT		/home/ubuntu/OpenSearch/modules/rank-eval/src/main/java/org/opensearch/index/rankeval/RestRankEvalAction.java	113
rest_route	planned	GET	"/{index}/" + ENDPOINT		/home/ubuntu/OpenSearch/modules/rank-eval/src/main/java/org/opensearch/index/rankeval/RestRankEvalAction.java	114
