status	category	expression	source	line
implemented	aggregation	new AggregationSpec(AvgAggregationBuilder.NAME, AvgAggregationBuilder::new, AvgAggregationBuilder.PARSER).addResultReader( InternalAvg::new ).setAggregatorRegistrar(AvgAggregationBuilder::registerAggregators), builder	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/search/SearchModule.java	406
implemented	aggregation	new AggregationSpec( WeightedAvgAggregationBuilder.NAME, WeightedAvgAggregationBuilder::new, WeightedAvgAggregationBuilder.PARSER ).addResultReader(InternalWeightedAvg::new).setAggregatorRegistrar(WeightedAvgAggregationBuilder::registerUsage), builder	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/search/SearchModule.java	412
implemented	aggregation	new AggregationSpec(SumAggregationBuilder.NAME, SumAggregationBuilder::new, SumAggregationBuilder.PARSER).addResultReader( InternalSum::new ).setAggregatorRegistrar(SumAggregationBuilder::registerAggregators), builder	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/search/SearchModule.java	420
implemented	aggregation	new AggregationSpec(MinAggregationBuilder.NAME, MinAggregationBuilder::new, MinAggregationBuilder.PARSER).addResultReader( InternalMin::new ).setAggregatorRegistrar(MinAggregationBuilder::registerAggregators), builder	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/search/SearchModule.java	426
implemented	aggregation	new AggregationSpec(MaxAggregationBuilder.NAME, MaxAggregationBuilder::new, MaxAggregationBuilder.PARSER).addResultReader( InternalMax::new ).setAggregatorRegistrar(MaxAggregationBuilder::registerAggregators), builder	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/search/SearchModule.java	432
implemented	aggregation	new AggregationSpec(StatsAggregationBuilder.NAME, StatsAggregationBuilder::new, StatsAggregationBuilder.PARSER).addResultReader( InternalStats::new ).setAggregatorRegistrar(StatsAggregationBuilder::registerAggregators), builder	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/search/SearchModule.java	438
implemented	aggregation	new AggregationSpec( ExtendedStatsAggregationBuilder.NAME, ExtendedStatsAggregationBuilder::new, ExtendedStatsAggregationBuilder.PARSER ).addResultReader(InternalExtendedStats::new).setAggregatorRegistrar(ExtendedStatsAggregationBuilder::registerAggregators), builder	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/search/SearchModule.java	444
implemented	aggregation	new AggregationSpec(ValueCountAggregationBuilder.NAME, ValueCountAggregationBuilder::new, ValueCountAggregationBuilder.PARSER) .addResultReader(InternalValueCount::new) .setAggregatorRegistrar(ValueCountAggregationBuilder::registerAggregators), builder	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/search/SearchModule.java	452
implemented	aggregation	new AggregationSpec( PercentilesAggregationBuilder.NAME, PercentilesAggregationBuilder::new, PercentilesAggregationBuilder::parse ).addResultReader(InternalTDigestPercentiles.NAME, InternalTDigestPercentiles::new) .addResultReader(InternalHDRPercentiles.NAME, InternalHDRPercentiles::new) .setAggregatorRegistrar(PercentilesAggregationBuilder::registerAggregators), builder	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/search/SearchModule.java	458
implemented	aggregation	new AggregationSpec( PercentileRanksAggregationBuilder.NAME, PercentileRanksAggregationBuilder::new, PercentileRanksAggregationBuilder::parse ).addResultReader(InternalTDigestPercentileRanks.NAME, InternalTDigestPercentileRanks::new) .addResultReader(InternalHDRPercentileRanks.NAME, InternalHDRPercentileRanks::new) .setAggregatorRegistrar(PercentileRanksAggregationBuilder::registerAggregators), builder	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/search/SearchModule.java	468
implemented	aggregation	new AggregationSpec( MedianAbsoluteDeviationAggregationBuilder.NAME, MedianAbsoluteDeviationAggregationBuilder::new, MedianAbsoluteDeviationAggregationBuilder.PARSER ).addResultReader(InternalMedianAbsoluteDeviation::new) .setAggregatorRegistrar(MedianAbsoluteDeviationAggregationBuilder::registerAggregators), builder	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/search/SearchModule.java	478
implemented	aggregation	new AggregationSpec( CardinalityAggregationBuilder.NAME, CardinalityAggregationBuilder::new, CardinalityAggregationBuilder.PARSER ).addResultReader(InternalCardinality::new).setAggregatorRegistrar(CardinalityAggregationBuilder::registerAggregators), builder	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/search/SearchModule.java	487
implemented	aggregation	new AggregationSpec(GlobalAggregationBuilder.NAME, GlobalAggregationBuilder::new, GlobalAggregationBuilder::parse) .addResultReader(InternalGlobal::new), builder	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/search/SearchModule.java	495
implemented	aggregation	new AggregationSpec(MissingAggregationBuilder.NAME, MissingAggregationBuilder::new, MissingAggregationBuilder.PARSER) .addResultReader(InternalMissing::new) .setAggregatorRegistrar(MissingAggregationBuilder::registerAggregators), builder	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/search/SearchModule.java	500
implemented	aggregation	new AggregationSpec(FilterAggregationBuilder.NAME, FilterAggregationBuilder::new, FilterAggregationBuilder::parse) .addResultReader(InternalFilter::new), builder	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/search/SearchModule.java	506
